Compound_Id	Well_Id	Induction	Conc_uM	Similarity	Known_Act	Trivial_Name	Smiles
410827	410827:01:03_00.20	32.1	0.2	87.3	PLX51107 is a potent and selective BET inhibitor, with Kds of 1.6, 2.1, 1.7, and 5 nM for BD1 and 5.9, 6.2, 6.1, and 120 nM for BD2 of BRD2, BRD3, BRD4, and BRDT, respectively; PLX51107 also interacts with the bromodomains of CBP and EP300 (Kd, in the 100 nM range).	PLX51107	Cc1noc(C)c1-c1cnc2c(-c3ccc(C(=O)O)cc3)cn([C@@H](C)c3ccccn3)c2c1
246653	246653:01:05_30.00	82.2	30.0	87.3	HMG-CoA reductase inhibition.	Atorvastatin	CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
410624	410624:01:03_02.00	83.4	2.0	87.1	AZD7762 is a potent and selective inhibitor of Chk1 with IC50 of 5 nM in a cell-free assay. It is equally potent against Chk2 and less potent against CAM, Yes, Fyn, Lyn, Hck and Lck. Phase 1.	AZD7762	NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1
410989	410989:01:03_02.00	80.8	2.0	87.1	TPPB is a cell-permeable benzolactam-derived protein kinase C (PKC) activator with a Ki of 11.9 nM.	TPPB	CC(C)[C@H]1C(=O)N[C@H](CO)Cc2cc(NC(=O)/C=C/C=C/c3ccc(C(F)(F)F)cc3)ccc2N1C
246890	246890:01:04_30.00	55.8	30.0	87.0	HMG-CoA reductase inhibitors.	Mevastatin	CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
413150	413150:01:02_00.50	35.2	0.5	86.6	negative control to TP-024		Cc1nc(Cc2cccc(C(F)(F)F)c2)sc1-c1ccc(C(N)=O)nc1
246514	246514:01:05_30.00	83.2	30.0	86.4	HMG CoA reductase inhibitor.	Fluvastatin sodium salt	CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21
410941	410941:01:03_00.20	49.1	0.2	86.3	BET bromodomain inhibitor is a potent BET inhibitor extracted from patent WO/2015/153871A2, compound example 11.	BET bromodomain inhibitor	Cc1noc2c1-c1ccc(-c3cnn(C)c3)cc1C(c1ccc(Cl)cc1)=N[C@H]2CC(N)=O
392762	392762:01:09_02.00	36.1	2.0	86.3	IM-12 is a selective GSK-3ß inhibitor with IC50 of 53 nM, and also enhances canonical Wnt signalling.	IM-12	Cc1[nH]c2ccccc2c1C1=C(NCCc2ccc(F)cc2)C(=O)N(C)C1=O
410668	410668:02:03_00.20	38.2	0.2	86.3	(+)-JQ-1 is a BET bromodomain inhibitor, with IC50s of 77 and 33 nM for the first and second bromodomain (BRD4(1/2)). (+)-JQ-1 also activates autophagy.	(+)-JQ1	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2
246980	246980:07:05_30.00	21.8	30.0	86.2	Griseofulvin is an antifungal agent derived from the mold Penicillium griseofulvum that is used to treat fungal infections of the skin and nails. Griseofulvin binds to tubulin, disrupting microtubule function and inhibiting mitosis.	Griseofulvin	COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
246876	246876:01:04_10.00	21.1	10.0	86.2	estrogen receptor activator.	Ethinylestradiol	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
410924	410924:01:03_00.20	61.1	0.2	86.2	ARV-771 is a potent BET degrader based on PROTAC technology with Kds of  34, 4.7, 8.3, 7.6, 9.6, and 7.6 nM for BRD2(1), BRD2(2), BRD3(1), BRD3(2), BRD4(1), and BRD4(2), respectively.	ARV-771	Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCCOCCNC(=O)C[C@@H]2N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc32)C(C)(C)C)cc1
410752	410752:01:04_06.00	60.4	6.0	86.2	Cyclo (-RGDfK) is a potent and selective ¿vß3 integrin inhibitor.	Cyclo (-RGDfK)	NCCCC[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC1=O
410752	410752:01:04_10.00	65.3	10.0	86.2	Cyclo (-RGDfK) is a potent and selective ¿vß3 integrin inhibitor.	Cyclo (-RGDfK)	NCCCC[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC1=O
101008	101008:01:24_50.00	58.7	50.0	86.2	modulator of centrosome integrity; binds centrosome-associated proteins nucleophosmin (NPM) and Crm1.; Nat. Chem. Biol. 2012, 8, 179	Centrocountin 1	COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@@]12C(=O)OC
410871	410871:01:03_02.00	78.1	2.0	86.1	Ilginatinib (NS-018) is a highly active and orally bioavailable JAK2 inhibitor, with an IC50 of 0.72 nM, 46-, 54-, and 31-fold selectivity for JAK2 over JAK1 (IC50, 33 nM), JAK3 (IC50, 39 nM), and Tyk2 (IC50, 22 nM).	Ilginatinib	C[C@H](Nc1cc(-c2cnn(C)c2)cc(Nc2cnccn2)n1)c1ccc(F)cc1
280897	280897:07:11_01.00	53.2	1.0	86.1	inhibitor of mitochondrial electron transport.	Rotenone	C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1
280960	280960:01:04_30.00	80.3	30.0	86.1	vascular endothelial growth factor (VEGF) receptor protein tyrosine kinase 1/2 (KDR) and platelet derived growth factor (PDGF) receptor inhibitor.	SU 4312	CN(C)c1ccc(/C=C2\C(=O)Nc3ccccc32)cc1
413008	413008:01:03_10.00	79.1	10.0	86.0	Src kinase inhibitor I is a potent competitive inhibitor of both Src and Lck (IC50 = 44 and 88 nM, respectively), as well as Csk and Yes. It less effectively blocks the receptor tyrosine kinases VEGFR2 and C-fms (IC50 = 0.32 and 30 uM), as well as a long list of serine/threonine kinases. Src Kinase Inhibitor I also inhibits receptor-interacting protein-2 with an IC50 value of 26 nM.	SRC-kinase-inhibitor-I	COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC
410624	392561:01:09_02.00	69.8	2.0	86.0	AZD7762 is a potent and selective inhibitor of Chk1 with IC50 of 5 nM in a cell-free assay. It is equally potent against Chk2 and less potent against CAM, Yes, Fyn, Lyn, Hck and Lck. Phase 1.	AZD7762	NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1
410861	410861:01:03_02.00	50.6	2.0	86.0	Bromosporine is a broad spectrum inhibitor for bromodomains with IC50 of 0.41 µM, 0.29 µM, 0.122 µM and 0.017 µM for BRD2, BRD4, BRD9 and CECR2, respectively. IC50 value: 0.41/0.29/0.122/0.017 µM (BRD2/BRD4/BRD9/CECR2)  Target: BRD inhibitor In cell-based assays, Bromosporine (1 µM) accelerates FRAP recovery of BRD4 and CREBBP, while shows no activities against TIF1.a., BAZ2A, and SMARCA2 even at 10 µM. Bromosporine shows moderate cytotoxicity in HeLa cells at 18 µM. Bromosporine, as a chemical probe for bromodomain functional assays, will be very useful in elucidating further biological roles of reader domains.	Bromosporine	CCOC(=O)Nc1cc(-c2ccc(C)c(NS(C)(=O)=O)c2)nn2c(C)nnc12
410946	410946:01:03_00.20	37.0	0.2	85.9	INCB054329 is a potent BET inhibitor.	INCB054329	Cc1noc(C)c1-c1ccc2nc(O)n3c2c1OC[C@@H]3c1ccccn1
247195	247195:02:03_30.00	38.0	30.0	85.9	local anesthetic, anesthetic (local).	Tetracaine hydrochloride	CCCCNc1ccc(C(=O)OCCN(C)C)cc1
411007	411007:01:03_00.20	54.4	0.2	85.8	INCB-057643 is a novel, orally bioavailable BET inhibitor.	INCB-057643	CN1C(=O)C(C)(C)Oc2c(-c3cn(C)c(O)c4nccc3-4)cc(S(C)(=O)=O)cc21
410973	410973:01:03_00.20	6.0	0.2	85.8	TyK2-IN-2 is an inhibitor of TYK2, used for treatment of inflammatory and autoimmune diseases.	TyK2-IN-2	CNc1cc(Nc2cc(C)cc(C)c2)nn2c(C(N)=O)cnc12
409343	409343:02:02_05.00	81.5	5.0	85.8		BAY-309,control for BAY-826	Cc1cc(NC(=O)c2cccc(S(F)(F)(F)(F)F)c2)cc(-n2ccn3nc(-c4cccnc4)cc23)c1
246514	246514:02:04_06.00	65.5	6.0	85.7	HMG CoA reductase inhibitor.	Fluvastatin sodium salt	CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21
391925	391925:03:04_00.60	81.0	0.6	85.7	inhibitor of c-Jun N-terminal kinase 2/3 (IC50 = 0.3/0.2 µM), Inhibitor of binding or entry into cells for Lassa Virus (IC50 = 0.2 µM); N-(3-Cyano-4,5,6,7-tetrahydro-1-benzothien-2-yl)amides as potent, selective, inhibitors of JNK2 and JNK3.  Bioorg Med Chem Lett.  (2007),  17(5),  1296-1301.	JNK Inhibitor IX	N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCC2
410825	410825:01:03_02.00	70.3	2.0	85.7	Birabresib (OTX-015) is a potent bromodomain (BRD2/3/4) inhibitor with IC50s ranging from 92 to 112 nM.	Birabresib	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1ccc(O)cc1)c1nnc(C)n1-2
410679	410679:01:03_02.00	33.9	2.0	85.7	OTX015 is a potent BET bromodomain inhibitor with EC50 ranging from 10 to 19 nM for BRD2, BRD3, and BRD4 in cell-free assays. Phase 1.	OTX015	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1ccc(O)cc1)c1nnc(C)n1-2
410851	410851:01:03_02.00	56.1	2.0	85.7	I-BET151 is a BET bromodomain inhibitor which inhibits BRD4, BRD2, and BRD3 with pIC50 of 6.1, 6.3, and 6.6, respectively.	I-BET151	COc1cc2c(cc1-c1c(C)noc1C)ncc1nc(O)n([C@H](C)c3ccccn3)c12
410633	410633:01:04_10.00	77.4	10.0	85.6	Atorvastatin Calcium is an inhibitor of HMG-CoA reductase used as a cholesterol-lowering medication that blocks the production of cholesterol.	Atorvastatin Calcium	CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
410946	410946:01:03_02.00	53.9	2.0	85.6	INCB054329 is a potent BET inhibitor.	INCB054329	Cc1noc(C)c1-c1ccc2nc(O)n3c2c1OC[C@@H]3c1ccccn1
392762	392762:02:04_06.00	75.5	6.0	85.6	IM-12 is a selective GSK-3ß inhibitor with IC50 of 53 nM, and also enhances canonical Wnt signalling.	IM-12	Cc1[nH]c2ccccc2c1C1=C(NCCc2ccc(F)cc2)C(=O)N(C)C1=O
409850	409850:02:04_10.00	37.7	10.0	85.6	PFI-1 is a selective BET (bromodomain-containing protein) inhibitor for BRD4 with IC50 of 0.22 µM in a cell-free assay.	PFI-1	COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2
410954	410954:01:03_02.00	32.3	2.0	85.4	(S)-JQ-35 (TEN-010) is an inhibitor of the Bromodomain and Extra-Terminal (BET) family bromodomain-containing proteins with potential antineoplastic activity.	(S)-JQ-35	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCN1CCN(C)CC1)c1nnc(C)n1-2
246514	246514:01:05_10.00	77.9	10.0	85.4	HMG CoA reductase inhibitor.	Fluvastatin sodium salt	CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21
247167	247167:11:04_06.00	53.4	6.0	85.3	HMG CoA reductase inhibitor.	Lovastatin	CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
412681	412681:01:04_50.00	80.0	50.0	85.3	Dasabuvir (ABT-333) is a non-nucleoside inhibitor of NS5B viral RNA-dependent RNA polymerase that inhibits recombinant NS5B polymerases derived from HCV genotype 1a and 1b clinical isolates with IC50 values between 2.2 and 10.7 nM.	Dasabuvir; ABT-333	COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C
392506	392506:02:03_00.20	6.4	0.2	85.2	Danusertib is a pyrrolo-pyrazole and aurora kinase inhibitor with IC50 of 13, 79, and 61 nM for Aurora A, B, and C, respectively.	Danusertib (PHA-739358)	CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1
107987	107987:02:05_30.00	75.0	30.0	85.1	protein kinase inhibitor.	Vatalanib	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1
410871	410871:04:05_03.00	75.3	3.0	85.1	Ilginatinib (NS-018) is a highly active and orally bioavailable JAK2 inhibitor, with an IC50 of 0.72 nM, 46-, 54-, and 31-fold selectivity for JAK2 over JAK1 (IC50, 33 nM), JAK3 (IC50, 39 nM), and Tyk2 (IC50, 22 nM).	Ilginatinib	C[C@H](Nc1cc(-c2cnn(C)c2)cc(Nc2cnccn2)n1)c1ccc(F)cc1
280428	280428:01:08_03.00	39.7	3.0	85.1	protein phosphatase 2A inhibitor.	Cantharidin	CC12C(=O)OC(=O)C1(C)C1CCC2O1
409851	409851:01:02_10.00	28.5	10.0	85.1	it is an isoxazole class pan-BET family inhibitor, blocking BRD2, BRD3, and BRD4 with IC50 values of 0.5, 0.25, and 0.79 µM, respectively. Through this action, it blocks the growth of leukemic cell lines driven by mixed lineage leukemia (MLL) fusions at nanomolar concentrations, whereas tyrosine kinase activated cells were much less sensitive. Specifically, I-BET151 induces apoptosis via reduced expression of BCL2 or triggers G0/G1 cell cycle arrest in MLL-fusion cell lines. I-BET151 is effective in vivo, suppressing MLL leukemia progression in two different mouse models.	I-BET151	COc1cc2c(cc1-c1c(C)noc1C)ncc1nc(O)n([C@H](C)c3ccccn3)c12
392578	392578:01:09_02.00	29.0	2.0	85.0	Gandotinib (LY2784544) is a potent JAK2 inhibitor with IC50 of 3 nM. Gandotinib (LY2784544) also inhibits FLT3, FLT4, FGFR2, TYK2, and TRKB with IC50 of 4, 25, 32, 44, and 95 nM.	Gandotinib, LY2784544	Cc1cc(Nc2cc(CN3CCOCC3)c3nc(C)c(Cc4ccc(Cl)cc4F)n3n2)[nH]n1
246688	246688:08:03_00.20	22.5	0.2	85.0	Bradner et al., Chemical Phylogenetics of Histone Deacetylases. Nat. Chem. Biol. 6, 238-43 (2010).	SAHA	O=C(CCCCCCC(=O)Nc1ccccc1)NO
410968	410968:01:03_00.20	40.9	0.2	85.0	HJB97 is a high-affinity BET inhibitor with Kis of 0.9+/-0.2 nM (BRD2 BD1), 0.27+/-0.09 nM (BRD2 BD2), 0.18+/-0.01 nM (BRD3 BD1), 0.21+/-0.03 nM (BRD3 BD2), 0.5+/-0.2 nM (BRD4 BD1), 1.0+/-0.1 nM (BRD4 BD2), respectively. HJB97 is  employed for the design of potential PROTAC BET degrader. Antitumor activity.	HJB97	CCn1nc(C2CC2)cc1Nc1nc(C(=O)NC)nc2[nH]c3cc(-c4c(C)noc4C)c(OC)cc3c12
